STT,ipa,cons,son,syll,labial,round,coronal,ant,distrib,dorsal,high,low,back,tense,phrngl,atr,voice,s.g.,c.g.,cont.,strident,lateral,del rel,nasal
1,tʼ,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,1,-1,-1
2,tʰ,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,1,-1,-1,-1
3,t̪ ,1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1
4,t,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1
5,d,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1
6,s,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1
7,z,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,1
8,ɬ,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,1,-1,1,-1
9,ɮ,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
10,θ ,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1
11,ð,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
12,ʃ,1,-1,-1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1
13,ʒ,1,-1,-1,1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,-1,0,1,-1,-1,1,1
14,c,1,-1,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
15,ɟ,1,-1,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1
16,ç,1,-1,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1
17,ʝ,1,-1,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1
18,p,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1
19,b,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1
20,f,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1
21,v,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
22,ɸ,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1
23,β,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
24,k,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
25,g,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1
26,x,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,1,-1
27,ɣ,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,0,1,-1,-1,1,-1
28,q,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
29,ɢ,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1
30,χ,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1
31,ʁ,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,1,-1
32,ħ,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,1,-1,-1,-1,-1,1,-1
33,ʕ,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,1,-1,-1,-1,-1,1,-1
34,h,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,-1,1,-1,1,-1
35,ɦ,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,1,1,-1,1,-1
36,ʔ,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,1,-1,-1
37,t͡ʃ,1,-1,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1
38,d͡ʒ,1,-1,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1
39,ts,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1
40,dz,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,1
41,kx,1,-1,-1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
42,pf,1,-1,-1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1
43,m,1,1,-1,1,1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1
44,n,1,1,-1,1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1
45,ŋ,1,1,-1,1,1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1
46,ɳ,1,1,-1,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1
47,ɲ,1,1,-1,1,1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1
48,ɴ,1,1,-1,1,1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1
49,l,1,1,-1,1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
50,ʎ,1,1,-1,1,1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1
51,r,1,1,-1,1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
52,ɹ ,1,1,-1,1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1
53,ʀ,1,1,-1,1,1,-1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,1,-1
54,j,-1,1,-1,-1,1,-1,1,-1,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1
55,w,-1,1,-1,-1,1,-1,1,1,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,1,-1
56,ɥ,-1,1,-1,-1,1,-1,1,1,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1
57,ɰ,-1,1,-1,-1,1,-1,1,-1,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,1,-1
58,i,-1,1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,-1,-1,1,-1
59,ɪ,-1,1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1
60,u,-1,1,1,-1,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,-1,-1,1,-1
61,ʊ,-1,1,1,-1,1,1,1,1,-1,0,0,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1
62,e,-1,1,1,-1,1,1,1,-1,-1,0,0,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1
63,ɛ,-1,1,1,-1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1
64,o,-1,1,1,-1,1,1,1,1,-1,0,0,1,-1,-1,1,1,1,1,1,-1,-1,1,-1
65,ɔ,-1,1,1,-1,1,1,1,1,-1,0,0,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1
66,a,-1,1,1,-1,1,1,1,-1,-1,0,0,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1
67,æ,-1,1,1,-1,1,1,1,-1,-1,0,0,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1
68,y,-1,1,1,-1,1,1,1,1,-1,0,0,1,1,-1,-1,1,1,1,1,-1,-1,1,-1
69,ʏ,-1,1,1,-1,1,1,1,1,-1,0,0,1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1
70,ø,-1,1,1,-1,1,1,1,1,-1,0,0,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1
71,œ,-1,1,1,-1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1
72,ə,-1,1,1,-1,1,1,1,1,-1,0,0,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1
73,ɯ,-1,1,1,-1,1,1,1,1,-1,0,0,1,1,-1,1,1,1,-1,1,-1,-1,1,-1
